"condition","alpha","choice","mean","lower","upper"
"area",0.72,"Nash",0.607672182872696,0.467612494106891,0.734406248660666
"area",0.72,"IE",0.229141081345218,0.150139743621671,0.325906402179215
"area",0.73,"Nash",0.607495217772685,0.467722352060525,0.734343220124794
"area",0.73,"IE",0.229483711962273,0.150435158232639,0.326163283410389
"area",0.74,"Nash",0.607360420695891,0.467550414699196,0.73383092987092
"area",0.74,"IE",0.229773748576987,0.150622866018488,0.325720687641714
"area",0.75,"Nash",0.60726431079709,0.467559221686482,0.734501976657007
"area",0.75,"IE",0.230015269020669,0.15088145391316,0.325717383001913
"area",0.76,"Nash",0.607203539373206,0.467267727889355,0.73476067714992
"area",0.76,"IE",0.230212205355082,0.150997246555804,0.326286395863594
"area",0.77,"Nash",0.607174905026758,0.467303609619683,0.734932787301496
"area",0.77,"IE",0.230368325460513,0.151115018038451,0.325979750377305
"area",0.78,"Nash",0.607175337774712,0.46766281445845,0.734975539904648
"area",0.78,"IE",0.230487249345666,0.151238975750951,0.32652404414509
"area",0.79,"Nash",0.607201851978452,0.467564112366046,0.734767399682485
"area",0.79,"IE",0.230572500331621,0.151297436410276,0.325838779604354
"area",0.8,"Nash",0.607251467962904,0.467545774915214,0.734493575806584
"area",0.8,"IE",0.230627591241205,0.151330684894847,0.325619755832651
"area",0.81,"Nash",0.607321323703142,0.46724293361587,0.734788716237991
"area",0.81,"IE",0.23065586249964,0.151340612046766,0.325332767325431
"area",0.82,"Nash",0.607409264286162,0.467199291049785,0.735482890740877
"area",0.82,"IE",0.230659717097217,0.151087472043044,0.325099795887281
"area",0.83,"Nash",0.607513265620952,0.467673077770845,0.735144531362933
"area",0.83,"IE",0.23064137519359,0.150804919688068,0.325050781743185
"area",0.84,"Nash",0.607631330809727,0.467990839071081,0.735575514942682
"area",0.84,"IE",0.230603027453085,0.150877436118601,0.324969284110858
"area",0.85,"Nash",0.60776157465412,0.468034157260282,0.735996456323667
"area",0.85,"IE",0.230546741921891,0.150985244542996,0.325627979221926
"area",0.86,"Nash",0.607902275096729,0.468266236677713,0.735647379643145
"area",0.86,"IE",0.230474407653402,0.150879902111667,0.325721793702537
"area",0.87,"Nash",0.608051891501793,0.467838311373259,0.735858001003133
"area",0.87,"IE",0.230387715154463,0.150731462025117,0.325614352285244
"area",0.88,"Nash",0.608209049683941,0.467712728530658,0.735583843557325
"area",0.88,"IE",0.230288173702917,0.15049584933191,0.325552000663092
"area",0.89,"Nash",0.608372493617041,0.467411384237017,0.735673664635504
"area",0.89,"IE",0.230177165552522,0.150491744356881,0.325514909170179
"area",0.9,"Nash",0.608541003768106,0.467213752749377,0.735426939553062
"area",0.9,"IE",0.230056037028229,0.150493798038547,0.325990327397495
"area",0.91,"Nash",0.608713408614298,0.466991576659554,0.734859344178859
"area",0.91,"IE",0.22992614781129,0.150434616782475,0.326009344774132
"area",0.92,"Nash",0.608888840390576,0.466863074304488,0.734924279536702
"area",0.92,"IE",0.229788770486426,0.150246994167674,0.326154882079066
"area",0.93,"Nash",0.609066348572652,0.466900622628301,0.735400415045948
"area",0.93,"IE",0.229645330973235,0.150062748617689,0.326342335400369
"area",0.94,"Nash",0.609244856091651,0.46691349960039,0.735883162957964
"area",0.94,"IE",0.229497395910251,0.149398019445237,0.326752119237319
"area",0.95,"Nash",0.609423239597061,0.46795702634712,0.73583409924096
"area",0.95,"IE",0.22934658467515,0.149647077402623,0.325994546802978
"area",0.96,"Nash",0.609600399281823,0.466732709198101,0.73622944980794
"area",0.96,"IE",0.229194492867701,0.1494126619096,0.325369767149302
"area",0.97,"Nash",0.60977531821461,0.466833522014469,0.737204524259203
"area",0.97,"IE",0.229042627288848,0.149310888693325,0.325075974493404
"area",0.98,"Nash",0.609947111081286,0.466580323708085,0.738064158073503
"area",0.98,"IE",0.228892352510538,0.149109413023579,0.325373951572253
"area",0.99,"Nash",0.610115062214318,0.466348260843343,0.738587246542867
"area",0.99,"IE",0.228744849167502,0.14838066984351,0.325484021747642
"area",1,"Nash",0.610278652790338,0.465047803648813,0.739261378896887
"area",1,"IE",0.228601084108466,0.148264901081811,0.325652219264206
"none",0,"Nash",0.479521130343174,0.339021018145065,0.622590380031942
"none",0,"IE",0.382532805130385,0.268107964053013,0.497587246859985
"none",0.01,"Nash",0.479855093920889,0.34022147426381,0.621796731421025
"none",0.01,"IE",0.38134994795204,0.26823800188267,0.495785266597924
"none",0.02,"Nash",0.480186244330769,0.340885929090786,0.621739358506349
"none",0.02,"IE",0.380164538561751,0.268332809926389,0.494240995760335
"none",0.03,"Nash",0.480518591026411,0.341557563601579,0.622229937298362
"none",0.03,"IE",0.378971423373427,0.266873524408892,0.493099417471874
"none",0.04,"Nash",0.480856243426485,0.342445655889637,0.621249380490437
"none",0.04,"IE",0.37776531826073,0.267146578196142,0.491426552914265
"none",0.05,"Nash",0.481203394205356,0.342742727514205,0.620123042880376
"none",0.05,"IE",0.376540826730692,0.265609057722225,0.490421487098737
"none",0.06,"Nash",0.481564295660464,0.342793151955858,0.620959038016183
"none",0.06,"IE",0.375292466361828,0.265232966810419,0.488656795315655
"none",0.07,"Nash",0.481943229200228,0.343825939601155,0.622143759750032
"none",0.07,"IE",0.374014703551106,0.263365760533043,0.487181828797033
"none",0.08,"Nash",0.482344467837537,0.344348303331343,0.621977330569885
"none",0.08,"IE",0.372701996820209,0.262500537520416,0.48622946902272
"none",0.09,"Nash",0.482772231345613,0.34487901631573,0.62259979023709
"none",0.09,"IE",0.371348849230161,0.262465622100942,0.485464573996529
"none",0.1,"Nash",0.483230633444705,0.345124397368431,0.623461433342827
"none",0.1,"IE",0.369949870833885,0.260952886906055,0.483892999143026
"none",0.11,"Nash",0.483722965062786,0.346228947503067,0.623876371181401
"none",0.11,"IE",0.368500743337165,0.259907806645061,0.482296568921495
"none",0.12,"Nash",0.484249716846527,0.345928992527346,0.624289939631299
"none",0.12,"IE",0.367000916899618,0.258465559769301,0.480355851714518
"none",0.13,"Nash",0.484810641011147,0.347312525833416,0.624879971204851
"none",0.13,"IE",0.36545083815515,0.256980767261738,0.479135774032561
"none",0.14,"Nash",0.485405484157554,0.347849538495483,0.624526767813007
"none",0.14,"IE",0.363850969268576,0.255958921784634,0.476832936684609
"none",0.15,"Nash",0.486034041785342,0.348098290943095,0.625432612975558
"none",0.15,"IE",0.362201722764728,0.254630936760008,0.475201213524511
"none",0.16,"Nash",0.486696195107468,0.349236583667376,0.625254158664743
"none",0.16,"IE",0.360503416968415,0.253365878124219,0.473102855050513
"none",0.17,"Nash",0.487391929169539,0.349557919496511,0.625461614988515
"none",0.17,"IE",0.35875625355522,0.252409058555052,0.471093254304051
"none",0.18,"Nash",0.488121331002145,0.350356185093906,0.625893671140159
"none",0.18,"IE",0.356960319113742,0.250821181308962,0.469077837417369
"none",0.19,"Nash",0.488884566332498,0.35170732051509,0.62664969207346
"none",0.19,"IE",0.355115612934121,0.249792308825898,0.465844932412954
"none",0.2,"Nash",0.489681833210068,0.353449344719923,0.62755949721831
"none",0.2,"IE",0.353222103515529,0.24866778540121,0.46322617835055
"none",0.21,"Nash",0.49051329757311,0.355308419273556,0.627905432356966
"none",0.21,"IE",0.351279894775065,0.247285552415129,0.460814717117759
"none",0.22,"Nash",0.49137904705577,0.356252465574999,0.628377318657589
"none",0.22,"IE",0.349289550949355,0.24540142619221,0.458667282260709
"none",0.23,"Nash",0.49227909524551,0.357224859629186,0.629277507205698
"none",0.23,"IE",0.347251844196179,0.243338706460695,0.456557569970387
"none",0.24,"Nash",0.493213438927925,0.358436301761913,0.630437762142807
"none",0.24,"IE",0.345167598537778,0.241087578390662,0.453742536853778
"none",0.25,"Nash",0.494182110495111,0.359950430334162,0.631998227826772
"none",0.25,"IE",0.343037623645346,0.23962835484416,0.450924814458456
"none",0.26,"Nash",0.495185215436541,0.360392679288239,0.632988803132424
"none",0.26,"IE",0.340862666283769,0.237213005676356,0.448155389065197
"none",0.27,"Nash",0.496222953829307,0.361304710376089,0.634445914877155
"none",0.27,"IE",0.33864338112159,0.235869964799759,0.445590458195632
"none",0.28,"Nash",0.497295624557646,0.362769410135137,0.635342130208508
"none",0.28,"IE",0.336380322889482,0.233856641206153,0.442328393960623
"none",0.29,"Nash",0.498403610803971,0.36370256158532,0.636074738353907
"none",0.29,"IE",0.334073962136536,0.232368941722666,0.439220787309966
"none",0.3,"Nash",0.499547345160401,0.364719895317632,0.637782357695257
"none",0.3,"IE",0.331724727096867,0.230058543395376,0.436563892117257
"none",0.31,"Nash",0.500725540143295,0.366339565309465,0.638878602639183
"none",0.31,"IE",0.329335462194977,0.228029569852618,0.433924665416642
"none",0.32,"Nash",0.501930064581358,0.367493061938622,0.639048044823348
"none",0.32,"IE",0.326918599595161,0.226531630955665,0.430860466973866
"none",0.33,"Nash",0.503151225847943,0.368346475464232,0.640047954461064
"none",0.33,"IE",0.324488858141486,0.224520124819857,0.428106621673266
"none",0.34,"Nash",0.504379561454071,0.368616306081539,0.641721285002705
"none",0.34,"IE",0.322060761372586,0.223370595111889,0.425246925737328
"none",0.35,"Nash",0.505605889149187,0.369686899029074,0.642661177888395
"none",0.35,"IE",0.319648570862539,0.221313885710025,0.422479867566904
"none",0.36,"Nash",0.506821340928578,0.371731873746899,0.643077994349578
"none",0.36,"IE",0.317266237292467,0.219264858171044,0.41901023638079
"none",0.37,"Nash",0.508017379259151,0.373108284955577,0.643298659255076
"none",0.37,"IE",0.314927371789285,0.217555516322051,0.416446259999247
"none",0.38,"Nash",0.509185793838848,0.374901474266798,0.645287238052191
"none",0.38,"IE",0.312645240090688,0.215916274928245,0.413402735661368
"none",0.39,"Nash",0.510318677349909,0.376774064178255,0.645829322215736
"none",0.39,"IE",0.310432781915851,0.213409174459184,0.410477629175787
"none",0.4,"Nash",0.511408378910135,0.377994887315013,0.647120077568672
"none",0.4,"IE",0.308302657589396,0.211570288418741,0.40757442421954
"none",0.41,"Nash",0.512447452623493,0.379486959138515,0.648046691560802
"none",0.41,"IE",0.306267153131256,0.209951912943754,0.405747366638122
"none",0.42,"Nash",0.513428633910329,0.380838019115706,0.649732915513131
"none",0.42,"IE",0.304337749685277,0.20834964112593,0.403720621511776
"none",0.43,"Nash",0.514344766323102,0.382356215616278,0.651017446558021
"none",0.43,"IE",0.302525638190827,0.2069449251611,0.401974752788723
"none",0.44,"Nash",0.515188805379211,0.384302864352981,0.652056290945857
"none",0.44,"IE",0.300841856029393,0.205707192917062,0.400271606965495
"none",0.45,"Nash",0.515953828966247,0.385426555057903,0.652183598703261
"none",0.45,"IE",0.299297270156415,0.204337556435777,0.397442104283065
"none",0.46,"Nash",0.516633030644357,0.386071783861018,0.65284001007386
"none",0.46,"IE",0.297902582032323,0.2033566498603,0.396159640821893
"none",0.47,"Nash",0.517219694938146,0.386124575865106,0.653362102230722
"none",0.47,"IE",0.296668355666814,0.202260432376591,0.393893415699648
"none",0.48,"Nash",0.517707153988133,0.385823126210394,0.653736275909262
"none",0.48,"IE",0.29560506967641,0.200549872944763,0.392789602390208
"none",0.49,"Nash",0.518088725235411,0.386581731021278,0.654224158630014
"none",0.49,"IE",0.294723193800804,0.199826242863478,0.391810923681211
"none",0.5,"Nash",0.518357630129511,0.386942605330904,0.654529268889902
"none",0.5,"IE",0.294033289847517,0.200032490893969,0.391077780880596
"none",0.51,"Nash",0.518509771273552,0.38698304000203,0.654397610826238
"none",0.51,"IE",0.293541771094298,0.20053603599864,0.390767857461598
"none",0.52,"Nash",0.518552259528584,0.387131437674102,0.654096630702596
"none",0.52,"IE",0.29323792550804,0.200728321249091,0.390686020838066
"none",0.53,"Nash",0.5184947913798,0.386707814172372,0.65468893076774
"none",0.53,"IE",0.293106985038512,0.200914540115012,0.390402454685114
"none",0.54,"Nash",0.518346874648054,0.386536389205275,0.654334288533223
"none",0.54,"IE",0.293134365273068,0.200875721598389,0.390693797755961
"none",0.55,"Nash",0.518117921375569,0.385734737534014,0.654173062600859
"none",0.55,"IE",0.293305554715395,0.201693813330276,0.391278146012967
"none",0.56,"Nash",0.517817320316577,0.385685819525723,0.652340737941243
"none",0.56,"IE",0.293606029456499,0.201512874698573,0.391754125842491
"none",0.57,"Nash",0.517454488868704,0.385839131310408,0.651158508149842
"none",0.57,"IE",0.294021193612239,0.201976707290447,0.392610416620173
"none",0.58,"Nash",0.517038904603443,0.385358464294093,0.650948387071478
"none",0.58,"IE",0.294536345400422,0.202476887374446,0.393178206910076
"none",0.59,"Nash",0.516580116809951,0.385065573590669,0.649779990224239
"none",0.59,"IE",0.295136668326897,0.202442670515522,0.393283825866901
"none",0.6,"Nash",0.516087738646448,0.385371011914015,0.648777487969823
"none",0.6,"IE",0.295807246658642,0.2035897813769,0.393518953075174
"none",0.61,"Nash",0.515571092706374,0.383917835327083,0.648096463899381
"none",0.61,"IE",0.296533494175924,0.204645591306627,0.394098910502877
"none",0.62,"Nash",0.515038207072266,0.38343387251035,0.647576874459954
"none",0.62,"IE",0.297302355648469,0.205482906805308,0.394342194060866
"none",0.63,"Nash",0.514496842830309,0.382591994478996,0.646707521724587
"none",0.63,"IE",0.298101088434203,0.206343750199588,0.394721133298928
"none",0.64,"Nash",0.513954880400009,0.382359804143115,0.645285598338605
"none",0.64,"IE",0.29891680414229,0.207181199202792,0.395114240972348
"none",0.65,"Nash",0.513420357819634,0.381291531985913,0.645021040951718
"none",0.65,"IE",0.299736424818757,0.208304953891386,0.396343248982812
"none",0.66,"Nash",0.512901488310288,0.380990392736254,0.644363773704224
"none",0.66,"IE",0.300546664501746,0.209384649373481,0.396828889191012
"none",0.67,"Nash",0.512406657834871,0.380251640780051,0.643688101541134
"none",0.67,"IE",0.301334035150638,0.21041533854143,0.398015786073186
"none",0.68,"Nash",0.511944403407739,0.380153458130004,0.643799204020661
"none",0.68,"IE",0.302084875895584,0.21173288412532,0.39907810268996
"none",0.69,"Nash",0.511523372833552,0.37974831790241,0.642780509350569
"none",0.69,"IE",0.302785404655873,0.212083304187258,0.399840473051388
"none",0.7,"Nash",0.511152266335768,0.379826495497526,0.642367345909679
"none",0.7,"IE",0.303421791468574,0.212508774051578,0.400825706417148
"none",0.71,"Nash",0.510837699759293,0.379826296702843,0.642134222579635
